Offense charged,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander","Hispanic
or
Latino","Not
Hispanic
or Latino"
TOTAL,"5,858,330","2,263,112","171,185","103,244","25,610","1,221,066","5,425,946"
Murder and nonnegligent manslaughter,"4,192","4,935",108,109,30,"1,374","5,508"
Rape,"12,571","5,412",233,309,81,"3,758","10,138"
Robbery,"33,095","41,562",663,659,288,"12,657","47,459"
Aggravated assault,"191,205","101,432","6,374","4,678",937,"61,073","189,689"
Burglary,"112,651","47,991","1,613","1,925",461,"27,113","103,066"
Larceny-theft,"575,105","231,199","14,933","10,277","2,044","91,210","533,590"
Motor vehicle theft,"44,970","20,955","1,018",895,332,"14,160","38,626"
Arson,"5,593","1,813",218,120,23,910,"4,585"
Violent crime,"241,063","153,341","7,378","5,755","1,336","78,862","252,794"
Property crime,"738,319","301,958","17,782","13,217","2,860","133,393","679,867"
Other assaults,"556,871","267,764","15,505","10,511","2,842","121,329","544,382"
Forgery and counterfeiting,"29,375","14,308",290,752,106,"5,580","29,600"
Fraud,"67,860","30,888","1,248","1,164",141,"9,084","70,005"
Embezzlement,"7,732","4,512",104,209,35,"1,225","8,953"
"Stolen property; buying, receiving, possessing","47,818","24,851",876,812,135,"11,067","45,176"
Vandalism,"105,933","43,499","3,370","1,768",388,"22,425","99,094"
"Weapons; carrying, possessing, etc.","69,414","51,898","1,135","1,401",302,"22,753","74,526"
Prostitution and commercialized vice,"16,819","11,495",121,"1,821",66,"5,123","20,595"
Sex offenses (except rape and prostitution),"28,837","9,949",633,749,124,"8,134","24,268"
Drug abuse violations,"881,885","332,131","12,746","13,593","2,275","201,110","790,316"
Gambling,"1,308","1,405",8,167,17,502,"1,456"
Offenses against the family and children,"46,661","20,265","2,065",519,36,"6,345","49,460"
Driving under the influence,"655,648","108,881","14,700","15,969","2,814","148,548","508,788"
Liquor laws,"145,328","26,545","8,413","2,792",436,"19,488","114,888"
Drunkenness,"228,784","43,948","23,043","3,046",427,"64,347","202,547"
Disorderly conduct,"184,903","94,004","10,121","2,320",603,"26,664","180,346"
Vagrancy,"13,033","6,063",412,234,13,"2,624","13,641"
All other offenses (except traffic),"1,775,423","704,293","50,666","26,136","10,574","327,510","1,697,292"
Suspicion,154,135,143,5,3,17,222
Curfew and loitering law violations,"15,162","10,979",426,304,77,"4,936","17,730"